id,name,category,municipality,latitude,longitude,summary,parking_notes,best_time,source,status
domaine-du-rayol,Domaine du Rayol - Le Jardin des Méditerranées,botanical_garden,Rayol-Canadel-sur-Mer,43.1554,6.4806,"Mediterranean garden with landscapes from comparable climates worldwide, seasonal activities and a marine-garden/underwater-trail angle; just outside the core gulf but relevant as a premium half-day nature detour.","Official access/parking details still need practical check before publication.","Spring, early summer or autumn; avoid treating peak hot afternoons as default.",src-domaine-rayol-official,official_partial_verification
fort-freinet,Fort-Freinet,heritage_viewpoint,La Garde-Freinet,,,"Fortified medieval site above La Garde-Freinet, accessible only on foot, with castrum remains and broad Massif des Maures context.","Official page mentions access from the village or Parking de la Croix; exact parking logistics to verify.","Clear morning or late afternoon; avoid wet or windy conditions because the official page warns of a steep path.",src-lgf-fort-freinet,official_partial_verification
pont-des-fees-grimaud,Pont des Fées,heritage_walk,Grimaud,,,"Former water-supply aqueduct/heritage site below Grimaud, useful as a quieter heritage walk paired with the village rather than Port Grimaud crowds.","Parking and walking route from Grimaud village need local verification.","Morning or shoulder season, especially if pairing with Grimaud village.",src-wiki-grimaud,seed_needs_official_verification
moulin-paillas,Moulin de Paillas,heritage_viewpoint,Ramatuelle,,,"Restored windmill area above Ramatuelle on the exposed Paillas ridge, with strong viewpoint potential over village, vineyards and coast.","Road/parking and access limits need official confirmation.","Golden hour or clear mistral-after day; avoid overselling until access is checked.",src-wiki-ramatuelle,seed_needs_official_verification
cap-camarat-lighthouse,Phare du Cap Camarat,coastal_viewpoint,Ramatuelle,43.2008,6.6744,"Lighthouse and protected coastal headland context near Cap Camarat; useful for a restrained viewpoint/nature note rather than a beach recommendation.","Access, parking and any restricted areas near lighthouse/semaphore need official confirmation.","Clear early morning or late afternoon; keep visitor guidance conservative because the cap is protected.",src-wiki-cap-camarat;src-wiki-ramatuelle,seed_needs_official_verification
chapelle-sainte-anne-sttropez,Chapelle Sainte-Anne,heritage_viewpoint,Saint-Tropez,,,"Hilltop chapel above Saint-Tropez with maritime ex-voto history and cultural/film associations; generally not an always-open attraction.","Parking/access and exact public opening days need official confirmation.","Use as viewpoint/context stop, not as guaranteed interior visit.",src-wiki-chapelle-sainte-anne-sttropez,seed_needs_official_verification
cimetiere-marin-sttropez,Cimetière marin de Saint-Tropez,quiet_walk,Saint-Tropez,,,"Sea-edge cemetery below the Citadelle, relevant for a quiet reflective walk and Saint-Tropez cultural context when described respectfully.","Best approached on foot from the Citadelle/old town; access rules and opening hours need official confirmation.","Quiet morning; keep tone respectful and avoid celebrity-tour framing.",src-wiki-cimetiere-marin-sttropez,seed_needs_official_verification
chateau-minuty,Château Minuty,vineyard,Gassin,,,"Major Saint-Tropez peninsula wine estate with official caveau visits, tastings and self-guided audioguide; strongest first wine stop candidate because current visit formats are documented by the estate.","Parking and exact arrival logistics still need direct visitor check before publication.","Avoid vendanges restrictions; official caveau hours and reservation rules must be checked again close to travel.",src-minuty-official-home;src-minuty-official-caveau;src-minuty-official-vignoble;src-wiki-minuty,official_partial_verification
chateau-des-marres,Château des Marres,vineyard,Ramatuelle / Saint-Tropez,,,"Family winery candidate mentioned in recent Saint-Tropez rosé editorial context; needs primary-source verification before any recommendation.","Parking, tasting access and address need primary-source confirmation.","Candidate for a quieter alternative to Minuty, but not yet verified.",src-cntraveler-sttropez-2026,seed_needs_official_verification
